INDEX,ESPÉCIE/LINHAGEM,% DMSO,TREHALOSE,% SFB,VIABILIDADE
1,HepG2,2.0,0.0,98.0,97.33
2,HepG2,2.0,0.0,98.0,93.33
3,HepG2,2.0,0.0,98.0,92.75
4,HepG2,2.0,0.0,98.0,94.66
5,HepG2,2.0,0.0,98.0,95.83
6,HepG2,2.0,0.0,98.0,97.1
7,HepG2,2.0,0.0,98.0,95.0
8,HepG2,2.0,0.0,98.0,94.8
9,HepG2,2.0,0.0,98.0,96.0
10,HepG2,2.0,0.0,98.0,95.25
11,HepG2,5.0,0.0,95.0,96.8
12,HepG2,5.0,0.0,95.0,94.45
13,HepG2,5.0,0.0,95.0,96.0
14,HepG2,5.0,0.0,95.0,95.07
15,HepG2,5.0,0.0,95.0,90.0
16,HepG2,5.0,0.0,95.0,93.0
17,HepG2,5.0,0.0,95.0,89.71
18,HepG2,5.0,0.0,95.0,96.7
19,HepG2,5.0,0.0,95.0,97.0
20,HepG2,10.0,0.0,90.0,96.8
21,HepG2,10.0,0.0,90.0,90.5
22,HepG2,10.0,0.0,90.0,87.2
23,HepG2,10.0,0.0,90.0,94.0
24,HepG2,10.0,0.0,90.0,97.0
25,HepG2,10.0,0.0,90.0,89.0
26,HepG2,10.0,0.0,90.0,90.0
27,HepG2,10.0,0.0,90.0,92.7
28,HepG2,10.0,0.0,90.0,89.5
29,HepG2,10.0,0.0,90.0,90.0
30,HepG2,15.0,0.0,85.0,95.25
31,HepG2,15.0,0.0,85.0,95.2
32,HepG2,15.0,0.0,85.0,94.6
33,HepG2,15.0,0.0,85.0,93.4
34,HepG2,15.0,0.0,85.0,85.25
35,HepG2,15.0,0.0,85.0,90.4
36,HepG2,15.0,0.0,85.0,80.5
37,HepG2,15.0,0.0,85.0,92.0
38,HepG2,15.0,0.0,85.0,94.7
39,HepG2,20.0,0.0,80.0,80.25
40,HepG2,20.0,0.0,80.0,79.25
41,HepG2,20.0,0.0,80.0,65.0
42,HepG2,20.0,0.0,80.0,67.0
43,HepG2,20.0,0.0,80.0,75.0
44,HepG2,20.0,0.0,80.0,62.8
45,HepG2,20.0,0.0,80.0,73.4
46,HepG2,20.0,0.0,80.0,59.0
47,HepG2,20.0,0.0,80.0,67.7
48,HepG2,20.0,0.0,80.0,81.0
49,HepG2,25.0,0.0,75.0,48.88
50,HepG2,25.0,0.0,75.0,43.13
51,HepG2,25.0,0.0,75.0,47.91
52,HepG2,25.0,0.0,75.0,39.5
53,HepG2,25.0,0.0,75.0,25.0
54,HepG2,25.0,0.0,75.0,22.5
55,HepG2,25.0,0.0,75.0,35.0
56,HepG2,25.0,0.0,75.0,32.0
57,HepG2,30.0,0.0,70.0,1.6
58,HepG2,30.0,0.0,70.0,4.2
59,HepG2,30.0,0.0,70.0,2.0
60,HepG2,30.0,0.0,70.0,0.0
61,HepG2,30.0,0.0,70.0,0.0
62,HepG2,30.0,0.0,70.0,2.3
63,HepG2,30.0,0.0,70.0,4.0
64,HepG2,30.0,0.0,70.0,2.3
65,HepG2,30.0,0.0,70.0,3.8
66,HepG2,30.0,0.0,70.0,1.56
67,HepG2,30.0,0.0,70.0,1.6
68,HepG2,30.0,0.0,70.0,0.0
69,HepG2,30.0,0.0,70.0,1.8
70,HepG2,30.0,0.0,70.0,4.0
71,HepG2,30.0,0.0,70.0,1.6
72,HepG2,50.0,0.0,50.0,0.0
73,HepG2,50.0,0.0,50.0,0.0
74,HepG2,50.0,0.0,50.0,0.0
75,HepG2,50.0,0.0,50.0,0.0
76,HepG2,50.0,0.0,50.0,0.0
77,HepG2,50.0,0.0,50.0,0.0
78,HepG2,50.0,0.0,50.0,0.0
79,HepG2,50.0,0.0,50.0,0.0
80,HepG2,50.0,0.0,50.0,0.0
81,HepG2,50.0,0.0,50.0,0.0
82,HepG2,0.0,0.0,100.0,0.0
83,HepG2,0.0,0.0,100.0,0.0
84,HepG2,0.0,0.0,100.0,0.0
85,HepG2,0.0,0.0,100.0,0.0
86,HepG2,0.0,0.0,100.0,0.0
87,HepG2,0.0,0.0,100.0,0.0
88,HepG2,0.0,0.0,100.0,0.0
89,HepG2,0.0,0.0,100.0,0.0
90,HepG2,0.0,0.0,10.0,0.0
91,HepG2,0.0,0.0,10.0,0.0
92,HepG2,0.0,0.0,10.0,0.0
93,HepG2,0.0,0.0,10.0,0.0
94,HepG2,0.0,0.0,10.0,0.0
95,HepG2,0.0,0.0,10.0,0.0
96,HepG2,0.0,0.0,10.0,0.0
97,HepG2,0.0,0.0,10.0,0.0
98,HepG2,0.0,20.0,80.0,78.9
99,HepG2,0.0,20.0,80.0,76.25
100,HepG2,0.0,20.0,80.0,81.2
101,HepG2,0.0,20.0,80.0,81.7
102,HepG2,0.0,20.0,80.0,72.0
103,HepG2,0.0,30.0,70.0,67.0
104,HepG2,0.0,30.0,70.0,59.2
105,HepG2,0.0,30.0,70.0,65.5
106,HepG2,0.0,30.0,70.0,63.0
107,HepG2,0.0,30.0,70.0,60.0
108,HepG2,0.0,40.0,60.0,62.0
109,HepG2,0.0,40.0,60.0,58.25
110,HepG2,0.0,40.0,60.0,55.47
111,HepG2,0.0,40.0,60.0,61.32
112,HepG2,0.0,40.0,60.0,50.5
113,HepG2,0.0,50.0,50.0,54.8
114,HepG2,0.0,50.0,50.0,49.0
115,HepG2,0.0,50.0,50.0,54.5
116,HepG2,0.0,50.0,50.0,47.7
117,HepG2,0.0,50.0,50.0,56.0
118,HepG2,0.0,80.0,20.0,29.0
119,HepG2,0.0,80.0,20.0,15.5
120,HepG2,0.0,80.0,20.0,17.0
121,HepG2,0.0,80.0,20.0,21.5
122,HepG2,0.0,80.0,20.0,22.0
123,HepG2,5.0,20.0,75.0,72.0
124,HepG2,5.0,20.0,75.0,78.5
125,HepG2,5.0,20.0,75.0,76.7
126,HepG2,5.0,20.0,75.0,69.2
127,HepG2,5.0,20.0,75.0,65.0
128,HepG2,5.0,50.0,45.0,53.42
129,HepG2,5.0,50.0,45.0,54.44
130,HepG2,5.0,50.0,45.0,38.88
131,HepG2,5.0,50.0,45.0,60.0
132,HepG2,5.0,50.0,45.0,67.0
133,HepG2,5.0,30.0,65.0,70.4
134,HepG2,5.0,30.0,65.0,68.2
135,HepG2,5.0,30.0,65.0,71.8
136,HepG2,5.0,30.0,65.0,77.0
137,HepG2,5.0,30.0,65.0,64.24
138,HepG2,5.0,80.0,15.0,45.0
139,HepG2,5.0,80.0,15.0,38.9
140,HepG2,5.0,80.0,15.0,41.8
141,HepG2,5.0,80.0,15.0,40.0
142,HepG2,5.0,80.0,15.0,31.73
143,HepG2,0.0,100.0,0.0,0.0
144,HepG2,0.0,100.0,0.0,0.0
145,HepG2,0.0,100.0,0.0,0.0
146,HepG2,0.0,100.0,0.0,0.0
147,HepG2,0.0,100.0,0.0,0.0
148,HepG2,5.0,0.0,95.0,91.6
149,HepG2,5.0,0.0,95.0,64.5
150,HepG2,60.0,0.0,40.0,0.0
151,HepG2,60.0,0.0,40.0,0.0
152,HepG2,60.0,0.0,40.0,0.0
153,HepG2,60.0,0.0,40.0,0.0
154,HepG2,60.0,0.0,40.0,0.0
155,HepG2,60.0,0.0,40.0,0.0
156,HepG2,70.0,0.0,30.0,0.0
157,HepG2,70.0,0.0,30.0,0.0
158,HepG2,70.0,0.0,30.0,0.0
159,HepG2,70.0,0.0,30.0,0.0
160,HepG2,70.0,0.0,30.0,0.0
161,HepG2,70.0,0.0,30.0,0.0
162,HepG2,80.0,0.0,20.0,0.0
163,HepG2,80.0,0.0,20.0,0.0
164,HepG2,80.0,0.0,20.0,0.0
165,HepG2,80.0,0.0,20.0,0.0
166,HepG2,80.0,0.0,20.0,0.0
167,HepG2,80.0,0.0,20.0,0.0
168,HepG2,90.0,0.0,10.0,0.0
169,HepG2,90.0,0.0,10.0,0.0
170,HepG2,90.0,0.0,10.0,0.0
171,HepG2,90.0,0.0,10.0,0.0
172,HepG2,90.0,0.0,10.0,0.0
173,HepG2,90.0,0.0,10.0,0.0
174,HepG2,100.0,0.0,0.0,0.0
175,HepG2,100.0,0.0,0.0,0.0
176,HepG2,100.0,0.0,0.0,0.0
177,HepG2,100.0,0.0,0.0,0.0
178,HepG2,100.0,0.0,0.0,0.0
179,HepG2,100.0,0.0,0.0,0.0
180,HepG2,100.0,0.0,0.0,0.0
181,HepG2,5.0,20.0,75.0,72.0
182,HepG2,5.0,20.0,75.0,78.5
183,HepG2,5.0,20.0,75.0,76.7
184,HepG2,5.0,20.0,75.0,69.2
185,HepG2,5.0,20.0,75.0,65.0
186,HepG2,5.0,50.0,45.0,53.42
187,HepG2,5.0,50.0,45.0,54.44
188,HepG2,5.0,50.0,45.0,38.88
189,HepG2,5.0,50.0,45.0,60.0
190,HepG2,5.0,50.0,45.0,67.0
191,HepG2,5.0,30.0,65.0,70.4
192,HepG2,5.0,30.0,65.0,68.2
193,HepG2,5.0,30.0,65.0,71.8
194,HepG2,5.0,30.0,65.0,77.0
195,HepG2,5.0,30.0,65.0,64.24
196,HepG2,5.0,80.0,15.0,45.0
197,HepG2,5.0,80.0,15.0,38.9
198,HepG2,5.0,80.0,15.0,41.8
199,HepG2,5.0,80.0,15.0,40.0
200,HepG2,5.0,80.0,15.0,31.73
201,HepG2,5.0,5.0,90.0,56.57
202,HepG2,5.0,5.0,90.0,72.8
203,HepG2,5.0,10.0,85.0,63.27
204,HepG2,5.0,10.0,85.0,69.12
205,HepG2,5.0,20.0,75.0,57.55
206,HepG2,5.0,20.0,75.0,55.51
207,HepG2,5.0,30.0,65.0,73.75
208,HepG2,5.0,30.0,65.0,57.27
209,HepG2,10.0,5.0,85.0,76.3
210,HepG2,10.0,5.0,85.0,83.07
211,HepG2,10.0,10.0,80.0,64.28
212,HepG2,10.0,10.0,80.0,79.47
213,HepG2,10.0,20.0,70.0,79.2
214,HepG2,10.0,20.0,70.0,82.9
215,HepG2,10.0,30.0,60.0,59.42
216,HepG2,10.0,30.0,60.0,86.75
